"","name","aqi","idx","lat","lon","url","dominentpol","time","tz","t","h","p","pm10","so2","no2","pm25","co","o3","w","r","wd","d","time_estern","uvi","mepaqi","pm1","time_estern"
"1","Belleville, Ontario",50,1,"44.150528","-77.3955","http://aqicn.org/city/canada/ontario/belleville/","pm25","2017-03-24 13:00:00","-05:00",2.11,86,1016,NA,NA,2.8,50,NA,31.2,NA,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"2","Brampton, Ontario",70,2,"43.69875","-79.780917","http://aqicn.org/city/canada/ontario/brampton/","pm25","2017-03-24 13:00:00","-05:00",5.41,87,1015,NA,NA,11.2,70,NA,21.6,NA,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"3","Brantford, Ontario",53,3,"43.138611","-80.292639","http://aqicn.org/city/canada/ontario/brantford/","pm25","2017-03-24 13:00:00","-05:00",11.27,76,1016,NA,NA,2.8,53,NA,35.2,NA,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"4","Burlington, Ontario",61,4,"43.315111","-79.802639","http://aqicn.org/city/canada/ontario/burlington/","pm25","2017-03-24 13:00:00","-05:00",11.27,76,1016,NA,NA,15.8,61,NA,20.8,NA,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"5","Chatham, Ontario",61,5,"42.403694","-82.208306","http://aqicn.org/city/canada/ontario/chatham/","pm25","2017-03-24 13:00:00","-05:00",16.12,63,1016,NA,NA,3.8,61,NA,32.8,NA,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"6","Cornwall, Ontario",36,6,"45.017972","-74.735222","http://aqicn.org/city/canada/ontario/cornwall/","o3","2017-03-24 13:00:00","-05:00",1.15,86,1019.5,NA,NA,3.8,30,NA,36.1,NA,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"7","Dorset, Ontario",26,7,"45.224278","-78.932944","http://aqicn.org/city/canada/ontario/dorset/","o3","2017-03-24 13:00:00","-05:00",1.15,100,1013,NA,NA,NA,25,NA,26.4,NA,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"8","Grand Bend, Ontario",30,8,"43.333083","-81.742889","http://aqicn.org/city/canada/ontario/grand-bend/","pm25","2017-03-24 13:00:00","-05:00",15.15,54,1015,NA,NA,8.4,30,NA,27.2,NA,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"9","Guelph, Ontario",46,9,"43.551611","-80.264167","http://aqicn.org/city/canada/ontario/guelph/","pm25","2017-03-24 13:00:00","-05:00",5.41,87,1015,NA,NA,8.4,46,NA,25.6,NA,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"10","Hamilton Downtown, Ontario",34,10,"43.257778","-79.861667","http://aqicn.org/city/canada/ontario/hamilton-downtown/","pm25","2017-03-24 13:00:00","-05:00",11.27,76,1016,NA,2.9,10.2,34,2.9,29.6,NA,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"11","Hamilton Mountain, Ontario",34,11,"43.229417","-79.862778","http://aqicn.org/city/canada/ontario/hamilton-mountain/","pm25","2017-03-24 13:00:00","-05:00",11.27,76,1016,NA,1.5,4.7,34,NA,32,NA,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"12","Hamilton West, Ontario",34,12,"-79.90775","43.257444","http://aqicn.org/city/canada/ontario/hamilton-west/","pm25","2017-03-24 13:00:00","-05:00",11.27,76,1016,NA,NA,6.5,34,NA,28.1,NA,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"13","Kingston, Ontario",50,13,"-76.521111","44.219722","http://aqicn.org/city/canada/ontario/kingston/","pm25","2017-03-24 12:00:00","-05:00",1.3,100,1017.5,NA,NA,4.7,50,NA,32,NA,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"14","Kitchener, Ontario",53,14,"43.443833","-80.503806","http://aqicn.org/city/canada/ontario/kitchener/","pm25","2017-03-24 13:00:00","-05:00",11.3,76,1015,NA,NA,7.5,53,NA,25.6,NA,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"15","London, Ontario",42,15,"42.97446","-81.200858","http://aqicn.org/city/canada/ontario/london/","pm25","2017-03-24 13:00:00","-05:00",11.3,76,1015,NA,NA,4.7,42,NA,32.8,NA,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"16","Mississauga, Ontario",57,16,"43.54697","-79.65869","http://aqicn.org/city/canada/ontario/mississauga/","pm25","2017-03-24 13:00:00","-05:00",5.41,87,1015,NA,NA,13,57,NA,21.6,NA,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"17","Morrisburg, Ontario",NA,17,"44.89975","-75.189944","http://aqicn.org/city/canada/ontario/morrisburg/","","","-0500",21.15,88,1009,NA,NA,NA,NA,NA,NA,2.6,0,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"18","Newmarket, Ontario",68,18,"44.044306","-79.48325","http://aqicn.org/city/canada/ontario/newmarket/","pm25","2017-03-24 13:00:00","-05:00",5.16,93,1016,NA,NA,13,68,NA,22.4,NA,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"19","North Bay, Ontario",34,19,"46.323194","-79.449278","http://aqicn.org/city/canada/ontario/north-bay/","pm25","2017-03-24 13:00:00","-05:00",-0.85,92,1014,NA,NA,5.6,34,NA,28.9,NA,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"20","Oakville, Ontario",57,20,"43.486917","-79.702278","http://aqicn.org/city/canada/ontario/oakville/","pm25","2017-03-24 13:00:00","-05:00",11.27,76,1016,NA,NA,13,57,NA,20.8,NA,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"21","Oshawa, Ontario",42,21,"43.945944","-78.894917","http://aqicn.org/city/canada/ontario/oshawa/","pm25","2017-03-24 12:00:00","-05:00",3.54,93,1016,NA,NA,10.2,42,NA,25.6,NA,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
