"","name","aqi","idx","lat","lon","url","dominentpol","time","tz","t","h","p","pm10","so2","no2","pm25","co","o3","w","r","wd","d","pol","uvi","mepaqi","pm1","time_estern"
"1","Cornwall, Ontario",38,6,45.017972,-74.735222,"http://aqicn.org/city/canada/ontario/cornwall/","o3","2017-03-26 20:00:00","-05:00",1.15,69,1024,NA,NA,4.7,34,NA,38.4,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 00:41:11
"2","Dorset, Ontario",55,7,45.224278,-78.932944,"http://aqicn.org/city/canada/ontario/dorset/","pm25","2017-03-26 20:00:00","-05:00",1.15,98,1017,NA,NA,NA,55,NA,30.4,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 00:41:11
"3","Grand Bend, Ontario",50,8,43.333083,-81.742889,"http://aqicn.org/city/canada/ontario/grand-bend/","pm25","2017-03-26 20:00:00","-05:00",9.08,93,1012,NA,NA,3.8,50,NA,21.6,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 00:41:11
"4","Guelph, Ontario",46,9,43.551611,-80.264167,"http://aqicn.org/city/canada/ontario/guelph/","pm25","2017-03-26 20:00:00","-05:00",4.77,93,1016,NA,NA,7.5,46,NA,22.4,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 00:41:11
"5","Hamilton Downtown, Ontario",34,10,43.257778,-79.861667,"http://aqicn.org/city/canada/ontario/hamilton-downtown/","pm25","2017-03-26 20:00:00","-05:00",4.5,93,1015,NA,1.5,8.4,34,2.5,28.1,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 00:41:11
"6","Hamilton Mountain, Ontario",38,11,43.229417,-79.862778,"http://aqicn.org/city/canada/ontario/hamilton-mountain/","pm25","2017-03-26 20:00:00","-05:00",4.5,93,1015,NA,1.5,4.7,38,NA,28.1,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 00:41:11
"7","Hamilton West, Ontario",30,12,43.257444,-79.90775,"http://aqicn.org/city/canada/ontario/hamilton-west/","pm25","2017-03-26 20:00:00","-05:00",4.5,93,1015,NA,NA,6.5,30,NA,24.8,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 00:41:11
"8","Kingston, Ontario",34,13,44.219722,-76.521111,"http://aqicn.org/city/canada/ontario/kingston/","pm25","2017-03-26 20:00:00","-05:00",3.01,69,1020,NA,NA,8.4,34,NA,27.2,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 00:41:11
"9","Kitchener, Ontario",42,14,43.443833,-80.503806,"http://aqicn.org/city/canada/ontario/kitchener/","pm25","2017-03-26 20:00:00","-05:00",4.47,93,1028,NA,NA,4.7,42,NA,24.1,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 00:41:11
"10","London, Ontario",57,15,42.97446,-81.200858,"http://aqicn.org/city/canada/ontario/london/","pm25","2017-03-26 20:00:00","-05:00",4.47,93,1028,NA,NA,4.7,57,NA,21.6,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 00:41:11
"11","Mississauga, Ontario",42,16,43.54697,-79.65869,"http://aqicn.org/city/canada/ontario/mississauga/","pm25","2017-03-26 20:00:00","-05:00",4.77,93,1016,NA,NA,4.7,42,NA,28.1,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 00:41:11
"12","Morrisburg, Ontario",NA,17,44.89975,-75.189944,"http://aqicn.org/city/canada/ontario/morrisburg/","","","-0500",21.15,88,1009,NA,NA,NA,NA,NA,NA,2.6,0,NA,NA,NA,NA,NA,NA,2017-03-27 00:41:11
"13","Newmarket, Ontario",42,18,44.044306,-79.48325,"http://aqicn.org/city/canada/ontario/newmarket/","pm25","2017-03-26 20:00:00","-05:00",4.77,86,1016,NA,NA,2.8,42,NA,25.6,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 00:41:11
