"","name","aqi","idx","lat","lon","url","dominentpol","time","tz","t","h","p","pm10","so2","no2","pm25","co","o3","w","r","wd","d","uvi","pol","mepaqi","pm1","time_estern"
"1","Cornwall, Ontario",57,6,45.017972,-74.735222,"http://aqicn.org/city/canada/ontario/cornwall/","pm25","2017-03-27 11:00:00","-05:00",2.15,93,1015,NA,NA,12.1,57,NA,18.4,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"2","Dorset, Ontario",17,7,45.224278,-78.932944,"http://aqicn.org/city/canada/ontario/dorset/","o3","2017-03-27 11:00:00","-05:00",5.15,100,1011,NA,NA,NA,13,NA,16.8,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3","Grand Bend, Ontario",38,8,43.333083,-81.742889,"http://aqicn.org/city/canada/ontario/grand-bend/","pm25","2017-03-27 11:00:00","-05:00",11.19,100,1013,NA,NA,4.7,38,NA,16.8,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"4","Guelph, Ontario",18,9,43.551611,-80.264167,"http://aqicn.org/city/canada/ontario/guelph/","o3","2017-03-27 11:00:00","-05:00",7.49,100,1011,NA,NA,9.3,30,NA,18.4,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"5","Hamilton Downtown, Ontario",76,10,43.257778,-79.861667,"http://aqicn.org/city/canada/ontario/hamilton-downtown/","pm25","2017-03-27 11:00:00","-05:00",10.47,100,1012,NA,4.3,44.5,76,6.3,2.4,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"6","Hamilton Mountain, Ontario",34,11,43.229417,-79.862778,"http://aqicn.org/city/canada/ontario/hamilton-mountain/","pm25","2017-03-27 11:00:00","-05:00",10.47,100,1012,NA,1.5,4.7,34,NA,23.3,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"7","Hamilton West, Ontario",61,12,43.257444,-79.90775,"http://aqicn.org/city/canada/ontario/hamilton-west/","pm25","2017-03-27 11:00:00","-05:00",10.47,100,1012,NA,NA,26,61,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"8","Kingston, Ontario",27,13,44.219722,-76.521111,"http://aqicn.org/city/canada/ontario/kingston/","o3","2017-03-27 11:00:00","-05:00",4.56,93,1013,NA,NA,2.8,17,NA,27.2,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"9","Kitchener, Ontario",38,14,43.443833,-80.503806,"http://aqicn.org/city/canada/ontario/kitchener/","pm25","2017-03-27 11:00:00","-05:00",10.49,93,1025,NA,NA,6.5,38,NA,18.4,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"10","London, Ontario",53,15,42.97446,-81.200858,"http://aqicn.org/city/canada/ontario/london/","pm25","2017-03-27 11:00:00","-05:00",10.49,93,1025,NA,NA,6.5,53,NA,17.6,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
