"","name","aqi","idx","lat","lon","url","dominentpol","time","tz","pm25","o3","no2","co","so2","pm10","h","t","w","wd","d","p","r","uvi","pol","mepaqi","pm1","time_estern","time_estern"
"1","Lobau Grundwasserwerk",53,2831,48.1620694444444,16.5256138888889,"http://aqicn.org/city/austria/lobau-grundwasserwerk/","pm25","2017-03-29 02:00:00","+01:00",53,NA,20.2,NA,NA,14,63,7.14,NA,NA,NA,1022,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"2","Gimpersdorf",21,2832,48.0451111111111,14.7722777777778,"http://aqicn.org/city/austria/gimpersdorf/","pm10","2017-03-28 21:00:00","+01:00",NA,NA,6.9,NA,NA,21,85,4.57,NA,NA,NA,969.17,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"3","Kriegen, Kapelle",55,2833,13.67114,48.39172,"http://aqicn.org/city/austria/kriegen--kapelle/","pm25","2017-03-29 02:00:00","+01:00",55,NA,6.4,NA,0.6,20,75,6.15,NA,NA,NA,964.88,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"4","Linzerstr. 85 (Windgeber auf dem Berufsschulinternet, 25m)",NA,2834,48.165001,14.0355556,"http://aqicn.org/city/austria/linzerstr.-85-windgeber-auf-dem-berufsschulinternet--25m/","","","+0100",NA,NA,NA,NA,NA,NA,59,17.22,3.1,NA,NA,1012,0,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"5","Eybnerstraße, H. Schneidmadl-Straße, Sportplatz Sonderschule",NA,2835,48.2125,15.6341666666667,"http://aqicn.org/city/austria/eybnerstrasse--h.-schneidmadl-strasse--sportplatz-sonderschule/","","","+0100",NA,NA,NA,NA,NA,NA,72,17.2,11.8,NA,NA,1014,0,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"6","Radetzkystraße, Phönix-Sportplatz, Mühlgasse",57,2836,48.145,16.4744444444444,"http://aqicn.org/city/austria/phonix-sportplatz--muhlgasse/radetzkystrasse/","pm25","2017-03-28 20:30:00","+01:00",57,NA,44.8,0.1,2.6,29,50,12.48,NA,NA,NA,1022,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"7","Siedlung Münichholz, Holzstrasse, Karl Punzer-Straße 1",53,2837,48.0494444444444,14.4427777777778,"http://aqicn.org/city/austria/siedlung-munichholz--holzstrasse--karl-punzer-strasse-1/","pm25","2017-03-29 02:00:00","+01:00",53,NA,6,0.1,1.1,17,75,6.15,NA,NA,NA,964.88,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"8","Am Alten Markt",21,2838,48.086111111,16.433333333,"http://aqicn.org/city/austria/am-alten-markt/","pm10","2017-03-28 21:00:00","+01:00",NA,NA,NA,NA,NA,21,50,12.48,NA,NA,NA,1022,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"9","Laschoberstraße, östlich Kreisverkehr Ruster Straße",46,2839,47.84,16.52806,"http://aqicn.org/city/austria/laschoberstrasse--ostlich-kreisverkehr-ruster-strasse/","pm25","2017-03-29 02:00:00","+01:00",46,NA,3.7,0.1,2.6,18,63,7.14,NA,NA,NA,1022,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"10","Admonter Straße",NA,2840,47.5672222222222,14.2436111111111,"http://aqicn.org/city/austria/admonter-strasse/","","2015-10-21 09:00:00","+0100",NA,NA,4.6,NA,1.1,11,90,7.69,NA,NA,NA,1020,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"11","Neuklosterwiese Sportplatz",24,2841,47.81416667,16.255,"http://aqicn.org/city/austria/neuklosterwiese-sportplatz/","pm10","2017-03-28 21:00:00","+01:00",NA,NA,22.9,NA,0.6,24,50,12.48,NA,NA,NA,1022,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"12","Mirabellplatz",29,2842,47.8055556,13.043333,"http://aqicn.org/city/austria/mirabellplatz/","pm10","2017-03-28 22:00:00","+01:00",NA,NA,17.4,0.1,1.6,29,66,9.15,NA,NA,NA,973.88,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"13","Winterstrasse, Hallenbad",1,2843,47.9719444,13.60083333,"http://aqicn.org/city/austria/winterstrasse--hallenbad/","so2","2017-03-29 01:00:00","+01:00",NA,NA,4.2,NA,1.1,NA,75,6.15,NA,NA,NA,964.88,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
