,description_score
0,0.041193181818181816
1,
2,0.05691685765215177
3,0.004
4,0.039361702127659576
5,
6,0.07554112554112556
7,0.045595126522961583
8,0.0
9,0.03893333333333334
10,0.00802139037433155
11,0.024367088607594935
12,0.09208422174840085
13,0.008196721311475409
14,0.04160804473304473
15,0.040308641975308646
16,0.13222222222222224
17,0.06766630316248635
18,
19,
20,0.0602715837621498
21,0.09518716577540107
22,
23,0.005990566037735849
24,0.0744363083724786
25,0.08060296846011131
26,0.1167464114832536
27,0.08056122448979593
28,0.07083333333333333
29,0.007692307692307694
30,0.03297523554876496
31,0.06695607763023495
32,-0.006896551724137932
33,0.035222222222222224
34,0.03264462809917355
35,0.03520408163265306
36,0.027489711934156377
37,0.06159570387418488
38,0.05305683563748081
39,0.04979591836734693
40,0.0
41,0.10595238095238095
42,0.05173398030540888
43,0.012176308539944903
44,0.03434650455927051
45,0.08676470588235297
46,0.06499518999519
47,0.021529993815708103
48,0.0
49,0.07169712070874863
50,0.09565656565656565
51,0.011437908496732027
52,0.06302102659245516
53,0.013485987696514013
54,0.025126262626262625
55,0.08
56,0.08648268398268401
57,
58,0.02375
59,0.0
60,0.025
61,0.03763034759358289
62,0.056790666960158484
63,0.0499562937062937
64,0.03992094861660079
65,
66,0.040760869565217385
67,
68,0.054505494505494516
69,0.02532205697528278
70,0.051754385964912275
71,0.06515151515151515
72,0.04661199625117151
73,
74,0.052727272727272734
75,0.009343434343434343
76,0.018740685543964238
77,0.0
78,0.04477101845522898
79,0.04305073203949608
80,0.0291424887169568
81,0.02457620762076208
82,0.026573426573426574
83,0.07233372687918142
84,
85,0.04626436781609196
86,0.0637987012987013
87,0.030412953060011884
88,0.04143284698840255
89,0.08059701492537313
90,
91,0.014015151515151515
92,0.026388888888888892
93,0.032438852813852816
94,0.0
95,0.0471055381400209
96,0.04208754208754209
97,0.07106838474025974
98,0.03918067226890757
99,0.06666666666666667
100,0.023620129870129868
101,0.030690836940836942
102,0.042327672327672324
103,0.0646109993293092
104,0.01990740740740741
105,0.03681818181818182
106,0.15798319327731095
107,0.05034165181224005
108,0.05095693779904306
109,0.057801899592944364
110,0.021818181818181816
111,0.016618763749911288
112,
113,0.0591346153846154
114,0.03225108225108225
115,0.07993920972644378
116,0.042009569377990434
117,0.11092592592592593
118,0.06096136567834683
119,0.050165609584214226
120,0.023936333027242122
121,0.02242965367965368
122,0.07262626262626264
123,0.060853919631093566
124,0.09681818181818183
125,0.035483870967741936
