"","name","aqi","idx","lat","lon","url","dominentpol","time","tz","t","h","p","pm10","so2","no2","pm25","co","o3","w","r","wd","d","pol","uvi","mepaqi","pm1","time_estern"
"1","Cornwall, Ontario",32,6,45.017972,-74.735222,"http://aqicn.org/city/canada/ontario/cornwall/","o3","2017-03-29 11:00:00","-05:00",3.15,64,1023,NA,NA,3.8,13,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"2","Dorset, Ontario",30,7,45.224278,-78.932944,"http://aqicn.org/city/canada/ontario/dorset/","o3","2017-03-29 11:00:00","-05:00",2.15,69,993.65,NA,NA,NA,17,NA,29.6,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"3","Grand Bend, Ontario",25,8,43.333083,-81.742889,"http://aqicn.org/city/canada/ontario/grand-bend/","o3","2017-03-29 11:00:00","-05:00",6.76,100,1026,NA,NA,1,13,NA,24.8,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"4","Guelph, Ontario",26,9,43.551611,-80.264167,"http://aqicn.org/city/canada/ontario/guelph/","o3","2017-03-29 11:00:00","-05:00",2.07,92.5,999.25,NA,NA,8.4,13,NA,25.6,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"5","Hamilton Downtown, Ontario",25,10,43.257778,-79.861667,"http://aqicn.org/city/canada/ontario/hamilton-downtown/","pm25","2017-03-29 11:00:00","-05:00",6.18,60,995.84,NA,12.9,20.4,25,3.6,20.8,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"6","Hamilton Mountain, Ontario",30,11,43.229417,-79.862778,"http://aqicn.org/city/canada/ontario/hamilton-mountain/","pm25","2017-03-29 11:00:00","-05:00",6.18,60,995.84,NA,27.2,18.6,30,NA,17.6,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"7","Hamilton West, Ontario",17,12,43.257444,-79.90775,"http://aqicn.org/city/canada/ontario/hamilton-west/","o3","2017-03-29 11:00:00","-05:00",6.18,60,995.84,NA,NA,13.9,13,NA,16.8,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"8","Kingston, Ontario",31,13,44.219722,-76.521111,"http://aqicn.org/city/canada/ontario/kingston/","o3","2017-03-29 11:00:00","-05:00",3.74,74,1025,NA,NA,3.8,17,NA,31.2,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"9","Kitchener, Ontario",17,14,43.443833,-80.503806,"http://aqicn.org/city/canada/ontario/kitchener/","pm25","2017-03-29 10:00:00","-05:00",3.84,89,1024,NA,NA,16.7,17,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"10","London, Ontario",27,15,42.97446,-81.200858,"http://aqicn.org/city/canada/ontario/london/","o3","2017-03-29 11:00:00","-05:00",6.21,65,1024,NA,NA,6.5,5,NA,27.2,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"11","Mississauga, Ontario",24,16,43.54697,-79.65869,"http://aqicn.org/city/canada/ontario/mississauga/","o3","2017-03-29 11:00:00","-05:00",2.07,92.5,999.25,NA,NA,11.2,13,NA,24.1,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"12","Morrisburg, Ontario",NA,17,44.89975,-75.189944,"http://aqicn.org/city/canada/ontario/morrisburg/","","","-0500",21.15,88,1009,NA,NA,NA,NA,NA,NA,2.6,0,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"13","Newmarket, Ontario",42,18,44.044306,-79.48325,"http://aqicn.org/city/canada/ontario/newmarket/","pm25","2017-03-29 11:00:00","-05:00",4.35,69,1025,NA,NA,13,42,NA,19.2,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"14","North Bay, Ontario",29,19,46.323194,-79.449278,"http://aqicn.org/city/canada/ontario/north-bay/","o3","2017-03-29 11:00:00","-05:00",-0.85,68,993.25,NA,NA,1,5,NA,28.9,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"15","Oakville, Ontario",30,20,43.486917,-79.702278,"http://aqicn.org/city/canada/ontario/oakville/","pm25","2017-03-29 11:00:00","-05:00",6.18,60,995.84,NA,NA,21.3,30,NA,15.2,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"16","Oshawa, Ontario",31,21,43.945944,-78.894917,"http://aqicn.org/city/canada/ontario/oshawa/","o3","2017-03-29 11:00:00","-05:00",4.35,69,1025,NA,NA,3.8,21,NA,31.2,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"17","Ottawa Central, Ontario",30,22,45.382528,-75.714194,"http://aqicn.org/city/canada/ontario/ottawa-central/","o3","2017-03-29 11:00:00","-05:00",3.15,55,1023,NA,NA,1.9,13,NA,30.4,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"18","Ottawa Downtown, Ontario",30,23,45.434333,-75.676,"http://aqicn.org/city/canada/ontario/ottawa-downtown/","o3","2017-03-29 11:00:00","-05:00",3.15,55,1023,NA,1.5,2.8,9,2,30.4,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"19","Parry Sound, Ontario",26,24,45.337861,-80.038167,"http://aqicn.org/city/canada/ontario/parry-sound/","o3","2017-03-29 10:00:00","-05:00",3.14,57,1006.57,NA,NA,1.9,13,NA,26.4,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"20","Petawawa, Ontario",30,25,45.996722,-77.441194,"http://aqicn.org/city/canada/ontario/petawawa/","o3","2017-03-29 11:00:00","-05:00",2.15,64,996.33,NA,NA,NA,5,NA,30.4,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"21","Peterborough, Ontario",30,26,44.301917,-78.346222,"http://aqicn.org/city/canada/ontario/peterborough/","o3","2017-03-29 11:00:00","-05:00",3.5,66,996.17,NA,NA,1.9,13,NA,29.6,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"22","Port Stanley, Ontario",26,27,42.672083,-81.162889,"http://aqicn.org/city/canada/ontario/port-stanley/","o3","2017-03-29 11:00:00","-05:00",6.21,65,1024,NA,NA,2.8,21,NA,26.4,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"23","Sarnia, Ontario",26,28,42.982278,-82.405083,"http://aqicn.org/city/canada/ontario/sarnia/","o3","2017-03-29 11:00:00","-05:00",6.76,100,1026,NA,1.5,2.8,13,NA,26.4,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"24","Sault Ste Marie, Ontario",26,29,46.533194,-84.309917,"http://aqicn.org/city/canada/ontario/sault-ste-marie/","o3","2017-03-29 11:00:00","-05:00",0.83,81,1004.92,NA,11.5,1,13,NA,26.4,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"25","St. Catharines, Ontario",25,30,43.160056,-79.23475,"http://aqicn.org/city/canada/ontario/st.-catharines/","o3","2017-03-29 11:00:00","-05:00",5.39,65,1024,NA,NA,4.7,13,NA,24.8,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"26","Sudbury, Ontario",27,31,46.49194,-81.003105,"http://aqicn.org/city/canada/ontario/sudbury/","o3","2017-03-29 11:00:00","-05:00",-1.85,68,1003.38,NA,1.5,2.8,9,NA,27.2,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"27","Thunder Bay, Ontario",24,32,48.379389,-89.290167,"http://aqicn.org/city/canada/ontario/thunder-bay/","o3","2017-03-29 11:00:00","-05:00",0.15,70,1030,NA,NA,9.3,5,NA,24.1,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"28","Tiverton, Ontario",25,33,44.314472,-81.549722,"http://aqicn.org/city/canada/ontario/tiverton/","o3","2017-03-29 11:00:00","-05:00",-6.37,83,1013,NA,NA,1.9,9,NA,24.8,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"29","Toronto Downtown, Ontario",34,34,43.662972,-79.388111,"http://aqicn.org/city/canada/ontario/toronto-downtown/","pm25","2017-03-29 11:00:00","-05:00",4.35,69,1025,NA,NA,26,34,NA,13.6,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"30","Toronto East, Ontario",21,35,43.747917,-79.274056,"http://aqicn.org/city/canada/ontario/toronto-east/","pm25","2017-03-29 11:00:00","-05:00",4.35,69,1025,NA,NA,14.9,21,NA,18.4,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"31","Toronto North, Ontario",22,36,43.781611,-79.417722,"http://aqicn.org/city/canada/ontario/toronto-north/","o3","2017-03-29 11:00:00","-05:00",4.35,69,1025,NA,1.5,9.3,17,NA,22.4,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"32","Toronto West, Ontario",38,37,43.709444,-79.5435,"http://aqicn.org/city/canada/ontario/toronto-west/","pm25","2017-03-29 11:00:00","-05:00",2.07,92.5,999.25,NA,1.5,25.1,38,3.6,12.1,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"33","Windsor Downtown, Ontario",22,38,42.315778,-83.043667,"http://aqicn.org/city/canada/ontario/windsor-downtown/","o3","2017-03-29 11:00:00","-05:00",5.7,70,1025.5,NA,2.9,12.1,21,2.4,22.4,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"34","Windsor West, Ontario",23,39,42.292889,-83.073139,"http://aqicn.org/city/canada/ontario/windsor-west/","o3","2017-03-29 11:00:00","-05:00",5.7,70,1025.5,NA,1.5,9.3,21,NA,23.3,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"35","Inuvik, NorthWestTerritories",25,40,68.356994,-133.714063,"http://aqicn.org/city/canada/northwestterritories/inuvik/","pm25","2017-03-29 09:00:00","-05:00",-14.85,84,1012,NA,0.2,7,25,3,0.3,3.1,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"36","Norman Wells, NorthWestTerritories",29,41,65.279676,-126.812887,"http://aqicn.org/city/canada/northwestterritories/norman-wells/","pm10","2017-03-29 09:00:00","-05:00",-14.85,84,1012,29,1.6,13.4,NA,NA,8.4,3.1,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"37","Yellowknife, NorthWestTerritories",21,42,62.452084,-114.364031,"http://aqicn.org/city/canada/northwestterritories/yellowknife/","pm25","2017-03-29 08:00:00","-05:00",-7.85,78,1014,7,1.1,4.5,21,2.4,20.5,4.6,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"38","White Plains, New York",25,58,41.0522,-73.7642,"http://aqicn.org/city/usa/newyork/white-plains/","o3","2017-03-29 09:00:00","-04:00",11,54,1018,NA,NA,NA,10,NA,24.8,5.8,NA,30,2,NA,NA,NA,NA,2017-03-29 22:53:55
"39","The City College of New York",13,59,40.8197,-73.9481,"http://aqicn.org/city/usa/newyork/ccny/","pm25","2017-03-29 08:00:00","-04:00",9,66,1019,NA,NA,12.6,13,2.3,12.8,3.6,NA,10,3,NA,NA,NA,NA,2017-03-29 22:53:55
"40","Intermediate School 74, New York",8,60,40.814701,-73.886703,"http://aqicn.org/city/usa/newyork/is-74/","pm25","2017-03-29 09:00:00","-04:00",9,66,1019,NA,NA,12.6,8,2.3,NA,3.6,NA,10,3,NA,NA,NA,NA,2017-03-29 22:53:55
"41","Public School 314, New York",9,61,40.641819,-74.018707,"http://aqicn.org/city/usa/newyork/ps-314/","pm25","2017-03-29 08:00:00","-04:00",7,76,1018,NA,NA,NA,9,NA,15.2,2.7,NA,10,3,NA,NA,NA,NA,2017-03-29 22:53:55
"42","Maspeth, New York",3,62,40.7269,-73.8933,"http://aqicn.org/city/usa/newyork/maspeth/","pm25","2017-03-29 10:00:00","-04:00",11,54,1018,NA,NA,7.7,3,2.3,NA,5.8,NA,30,2,NA,NA,NA,NA,2017-03-29 22:53:55
